Group,Growth_Rate,Survival_Rate,Biomass_g
Control,12.5,95.2,145.3
Control,13.1,94.8,152.1
Control,12.8,96.1,148.7
Control,11.9,93.5,142.8
Control,13.4,95.8,155.2
Control,12.2,94.2,146.9
Control,13.6,96.5,158.1
Control,12.7,95.1,149.3
Control,11.8,93.9,141.5
Control,13.2,95.6,153.7
Control,12.4,94.6,147.2
Control,13.0,95.3,151.8
Control,12.9,94.9,150.4
Control,11.7,93.2,140.9
Control,13.5,96.2,156.5
Control,12.3,94.4,146.1
Control,13.3,95.7,154.9
Control,12.6,94.7,148.5
Control,11.6,93.6,139.7
Control,13.7,96.3,159.2
Treatment_A,15.8,97.5,185.6
Treatment_A,16.2,98.1,192.3
Treatment_A,15.5,96.9,182.4
Treatment_A,16.5,98.4,195.7
Treatment_A,15.9,97.2,187.9
Treatment_A,16.1,97.8,191.2
Treatment_A,15.7,97.1,184.5
Treatment_A,16.4,98.2,194.8
Treatment_A,15.6,96.8,183.1
Treatment_A,16.3,98.0,193.5
Treatment_A,15.4,96.6,181.7
Treatment_A,16.6,98.5,196.9
Treatment_A,16.0,97.6,189.4
Treatment_A,15.3,96.5,180.2
Treatment_A,16.7,98.6,198.1
Treatment_A,15.8,97.3,186.8
Treatment_A,16.2,97.9,192.6
Treatment_A,15.5,96.7,182.9
Treatment_A,16.4,98.3,195.3
Treatment_A,16.1,97.7,190.5
Treatment_B,14.2,96.8,167.4
Treatment_B,14.6,97.2,172.1
Treatment_B,14.1,96.5,165.8
Treatment_B,14.8,97.5,175.3
Treatment_B,14.3,96.9,169.2
Treatment_B,14.5,97.1,171.5
Treatment_B,14.0,96.4,164.7
Treatment_B,14.7,97.4,174.6
Treatment_B,14.4,97.0,170.3
Treatment_B,14.9,97.6,176.8
Treatment_B,13.9,96.2,163.5
Treatment_B,15.0,97.8,178.2
Treatment_B,14.2,96.7,168.1
Treatment_B,13.8,96.1,162.4
Treatment_B,15.1,97.9,179.5
Treatment_B,14.3,96.8,169.7
Treatment_B,14.6,97.3,173.4
Treatment_B,14.1,96.6,166.2
Treatment_B,14.8,97.5,175.9
Treatment_B,14.5,97.2,172.8
